,revenue,counts,name
4,17.381079061980937,161,Paramount Pictures
60,17.000036930747143,44,United Artists
8411,16.413752160032484,84,Metro-Goldwyn-Mayer (MGM)
2,18.857807128309688,62,Walt Disney Pictures
3172,18.064468560641856,18,Blumhouse Productions
97,17.37482457838468,21,Castle Rock Entertainment
306,17.662572621798066,138,Twentieth Century Fox Film Corporation
10201,17.31646346120715,7,Interscope Communications
27,18.480664455113253,27,DreamWorks SKG
215,16.890685472749276,8,Double Feature Films
216,17.58664945475536,6,Jersey Films
56,18.579960510083907,23,Amblin Entertainment
6363,16.840137128242116,6,BenderSpink
288,15.45742696753967,30,BBC Films
2452,16.689118611850255,11,UK Film Council
3823,17.686016241423342,11,TF1 Films Production
5358,15.685160602050402,46,Canal+
6896,17.100827639075387,12,EuropaCorp
12,17.90916624265092,75,New Line Cinema
33,17.69511779837755,188,Universal Pictures
552,16.63077061231688,6,Dark Horse Entertainment
9,15.984250889393502,12,Gaumont
6301,17.747526527292003,6,CinéCinéma
5870,16.173375127711036,7,Studio Canal
6916,13.25406166330179,8,Arte France Cinéma
7025,14.441710289819904,7,Westdeutscher Rundfunk (WDR)
491,17.318067347756102,24,Summit Entertainment
7437,15.582464378113974,6,IM Global
6194,17.528503145345162,202,Warner Bros.
441,16.870350274797268,61,Columbia Pictures Corporation
126,16.54091571502828,15,Lakeshore Entertainment
12026,18.15296692336638,6,Gold Circle Films
9383,19.853968763510917,8,Blue Sky Studios
11749,19.691829752138194,9,Twentieth Century Fox Animation
308,16.587559287758072,14,The Weinstein Company
559,16.675636728961102,53,TriStar Pictures
5,18.050588153838948,91,Columbia Pictures
915,16.700645164769917,24,Hollywood Pictures
1382,17.175570861874327,14,PolyGram Filmed Entertainment
7576,19.290338537886505,14,Eon Productions
11345,18.237274957913055,7,Stillking Films
507,19.04758817864394,6,Atlas Entertainment
846,15.457760427084,9,2929 Productions
11509,16.15520853705459,7,Warner Independent Pictures (WIP)
316,17.07991071122813,10,Wildwood Enterprises
23,17.89256250767508,16,Imagine Entertainment
9195,17.412895493326307,63,Touchstone Pictures
41,16.542875643877128,24,Orion Pictures
763,16.6418983400906,7,Intermedia Films
1171,17.19678361072175,21,Epsilon Motion Pictures
7383,18.383018437122356,6,"Kennedy/Marshall Company, The"
2521,15.54059835688191,6,Golden Harvest Company
104,17.913621411545424,6,Canal Plus
508,17.88247520269542,31,Regency Enterprises
14,16.69841964716552,40,Miramax Films
83,15.426007174774021,11,France 2 Cinéma
10221,18.627443220871797,9,Walden Media
2268,14.203937477987973,7,Isle of Man Film
7281,13.405041680866502,6,British Film Institute (BFI)
5490,17.30285733544895,7,CBS Films
4564,16.655393643978464,10,Icon Entertainment International
497,17.681595470610013,11,Revolution Studios
11,19.692471585752934,9,WingNut Films
1885,17.868017825469227,15,Silver Pictures
43,16.83819573029464,29,Fox Searchlight Pictures
6332,18.222915123291674,13,Dune Entertainment III
694,16.297107379978605,28,StudioCanal
923,19.438833301253954,19,Legendary Pictures
431,19.222870317015538,8,Donners' Company
9168,19.70669108431283,6,Bad Hat Harry Productions
19551,18.217596971696103,7,Marvel Enterprises
1422,13.953438977356674,10,Killer Films
1403,16.307848235472093,8,Franchise Pictures
10210,17.02045828259561,21,Morgan Creek Productions
79,18.124233495433643,36,Village Roadshow Pictures
1786,17.73818169099168,7,Dark Castle Entertainment
3287,17.655956380435278,16,Screen Gems
333,18.7637724034138,21,Original Film
2608,18.440167551015282,13,Happy Madison Productions
3,20.026745054056352,8,Pixar Animation Studios
1632,17.220928712921637,28,Lionsgate
7405,17.056423336922116,23,Dimension Films
1088,14.788027834578422,9,Alcon Entertainment
11317,17.458865923693637,10,Phoenix Pictures
1444,16.374969988520007,10,Cannon Group
444,18.378900442032425,30,Dune Entertainment
10104,17.66394217139033,18,New Regency Pictures
7076,18.4413958914936,8,Chernin Entertainment
7295,18.138416380339727,48,Relativity Media
10254,16.83660752724011,16,Millennium Films
14723,17.17413815389762,12,Carolco Pictures
10163,17.756267916871344,30,Working Title Films
831,17.63477800304627,9,Saturn Films
925,16.252411097978026,9,Nu Image Films
264,18.57286708647499,13,Studio Babelsberg
9349,15.983394404511305,18,Film4
81,17.150711951444517,7,Plan B Entertainment
711,18.089783004709385,25,Fox 2000 Pictures
2683,16.07143656603722,6,Rai Cinema
5755,18.824623396363094,6,Constantin Film Produktion
172,18.110403361370828,10,NPV Entertainment
6452,18.88603922453946,9,Dentsu
10105,18.431394723325873,7,Apatow Productions
10405,15.92823952974635,10,Emmett/Furla Films
181,15.591311770157612,9,Channel Four Films
158,18.075588025670122,17,Spyglass Entertainment
10282,17.399600357226657,7,Silver Screen Partners IV
13549,15.97862021641397,7,Golan-Globus Productions
4171,17.92924043001286,7,Playtone
562,18.05790682340461,9,Appian Way
171,16.340953330937513,10,Malpaso Productions
10039,17.19447211107155,8,Anonymous Content
1302,17.914278361890357,11,Davis Entertainment
258,17.168505381195338,14,Scott Rudin Productions
435,19.309015026436338,9,Di Bonaventura Pictures
1755,14.223595100470158,6,Allied Filmmakers
6735,16.144794102098174,19,Participant Media
248,18.489326406991374,7,Impact Pictures
729,15.262557744582077,6,Why Not Productions
10611,14.171494147229266,9,Ciné+
675,17.750092169575314,6,Forward Pass
2320,15.763203689455963,7,UTV Motion Pictures
10146,16.365527938592294,21,Focus Features
436,19.062800867302027,6,1492 Pictures
9335,16.036348386340833,11,Canal+ España
9996,18.481166472622565,6,Syncopy
13184,17.72874716756966,7,Annapurna Pictures
41077,14.92696598396844,7,A24
289,17.935237946797724,11,Ingenious Film Partners
826,14.74811173184512,6,Capitol Films
10339,16.01829178301927,6,WWE Studios
347,17.84772681036331,6,Centropolis Entertainment
54502,17.61177179128028,8,Mel's Cite du Cinema
2481,18.86346367210609,8,Platinum Dunes
1645,18.01266017200943,11,Scott Free Productions
10932,15.515802680259807,9,The Criterion Collection
11391,17.03804484868944,9,Tribeca Productions
7294,15.344590987811655,6,Reliance Entertainment
2188,15.773406776502352,7,Artisan Entertainment
9993,18.82627162477325,7,DC Entertainment
1,18.505104083898473,8,Lucasfilm
34034,18.574256711616346,8,LStar Capital
737,15.012030124675947,9,Sidney Kimmel Entertainment
3281,18.818672159832413,6,GK Films
53009,16.78587490504562,9,Miramax
6,14.0982877656809,6,RKO Radio Pictures
856,14.648571172350625,11,Wild Bunch
58,15.410686338726947,6,Sony Pictures Classics
6736,16.213145593840352,7,Imagenation Abu Dhabi FZ
1216,14.975473592829537,6,Dino de Laurentiis Cinematografica
521,19.6560775530269,6,DreamWorks Animation
932,16.1637489728669,7,Mirage Enterprises
70,16.736767456184555,12,American Zoetrope
429,18.75403339005886,7,DC Comics
7493,15.552050001330938,6,FilmNation Entertainment
174,17.54436674963235,6,Warner Bros. Pictures
35,16.26084123678452,13,Lions Gate Films
829,17.96633051004992,7,Vertigo Entertainment
5219,19.397468494619,6,Sunswept Entertainment
3929,17.824223860433392,6,Robert Simonds Productions
7263,16.904457168067058,6,FilmDistrict
8,15.194578460196032,7,Fine Line Features
10893,18.845693016650063,7,Big Screen Productions
3045,18.685792400344354,8,Sony Pictures Releasing
22213,19.19285152895439,16,TSG Entertainment
1268,15.230217497260556,6,Focus Films
1504,16.999427874137787,8,Cinergi Pictures Entertainment
10308,17.3347800125005,8,Dino De Laurentiis Company
130,19.983681919091627,7,Jerry Bruckheimer Films
420,18.74348345404558,8,Marvel Studios
76043,19.72684204904842,8,Revolution Sun Studios
7981,16.490920761849093,6,Pathé
2527,17.09925429614774,6,Marc Platt Productions
746,18.19052092510401,6,MTV Films
13,16.94757936690518,8,Universal Studios
134,17.355976745659564,6,Rogue Pictures
